code,name,issue_date,OP,IR,MAAR,AGE,TECH,VC,SOE,INTANG,PRIM,REPU,SPREAD,IPO_VOL,MKT_RET,CONC,iVX,SIMI,READ,SENT,PRICE,SIZE,SYSTEM,INDU
300833,浩洋股份,20200520,0,0.440007679,0.447702216,15,0,1,0,0.07432275,0.250002965,0,6.8337,4.007333185,0.218906667,8.665785595,18.91242416,0.628043268,0.038520262,0.541897529,52.09,11.6064679,0,20
688516,奥特维科技,20200521,0,1.671821306,1.686449021,10,0,1,0,0.018705123,0.250025337,0,8.0647,4.025351691,0.240533333,6.489204931,18.83805914,0.727574039,0.118813398,0.551093366,23.28,10.95835274,1,20
605001,威奥股份,20200522,0,0.439900867,0.473688114,12,0,1,0,0.041912714,0.250016544,1,5.9774,3.988984047,0.15894,7.782807263,18.84958862,0.710884109,0.035017148,0.581186764,16.14,11.71139789,0,25
2990,盛视科技,20200525,0,0.4400978,0.438118948,23,0,1,0,0.030174027,0.25,1,8.3178,4.007333185,-0.039906667,8.475537516,19.07564923,0.717068154,0.003001625,0.473169235,36.81,11.66283023,0,45
300835,龙磁科技,20200525,0,0.44,0.438021283,22,0,0,0,0.048279178,0.250035376,0,13.3561,4.007333185,-0.039906667,7.56112159,19.07564923,0.73515693,0.024604973,0.521659041,20,10.47277075,0,45
603950,长源东谷,20200526,0,0.440227704,0.424071612,18,0,1,0,0.044530848,0.25,0,2.5773,4.025351691,-0.061713333,7.729295674,19.07641337,0.682102086,0.047606194,0.451226332,15.81,11.42418474,0,25
300836,佰奥智能,20200528,0,0.440028389,0.435914494,14,1,1,0,0.018045739,0.25,0,8.6454,4.007333185,-0.151686667,7.926602599,18.82523153,0.718071721,0.116284651,0.541044285,28.18,10.45419463,0,20
605168,三人行,20200528,0,0.439953811,0.435840129,16,0,1,0,0.000921839,0.250000362,0,4.2828,4.007333185,-0.151686667,8.62137301,18.82523153,0.645872568,0.253392806,0.512437664,60.62,11.55876595,0,50
605288,凯迪股份,20200601,0,0.44000432,0.402179136,27,0,1,0,0.087266441,0.25,1,5.4174,4.025351691,-0.161166667,8.511577453,18.84373151,0.736830545,0.027447254,0.495767035,92.59,11.65907997,0,20
2986,宇新股份,20200602,0,0.440110028,0.43568954,10,1,1,0,0.056234198,0.250044115,0,9.2648,4.060443011,0.02446,8.517193191,18.72232622,0.710438522,0.049975107,0.504705835,39.99,11.63807384,0,15
688360,德马科技,20200602,0,1.937898089,1.928880067,19,0,1,0,0.02030904,0.250000003,0,10.3299,4.060443011,0.02446,6.523562306,18.72232622,0.729866671,0.040117537,0.519999447,25.12,10.89315959,1,20
601827,三峰环境,20200605,0,0.44005848,0.433196336,10,1,1,1,0.487624238,0.225391892,1,2.8484,4.094344562,0.10138,8.701512751,18.44928034,0.644956866,0.027240278,0.421465789,6.84,12.46356614,0,20
300837,浙矿股份,20200605,0,0.439954468,0.43309282,16,0,1,0,0.042170883,0.25,1,8.4484,4.094344562,0.10138,7.836369761,18.44928034,0.722975836,0.210916478,0.496686021,17.57,10.69023891,0,20
300838,浙江力诺,20200608,0,0.439703154,0.432292473,17,0,1,0,0.050497511,0.25,0,6.9023,4.110873864,0.154366667,0,18.36308692,0.730227816,0.093213126,0.587599818,17.57,10.69023891,0,45
688312,燕麦科技,20200608,0,2.108739837,2.092738011,8,1,1,0,0.00451529,0.250002272,1,8.36,4.110873864,0.154366667,6.903747258,18.36308692,0.736230198,0.067368569,0.560713657,19.68,11.16467437,1,45
688157,松井股份,20200609,0,1.668213457,1.651682866,11,1,1,0,0.055270993,0.25,0,7.3228,4.127134385,0.17166,6.396929655,18.29727304,0.693213039,0.035986538,0.528462688,34.48,11.13626936,1,15
688599,天合光能,20200610,0,1.109068627,1.112892963,22,0,1,0,0.016005915,0.149998087,1,6.242,4.158883083,0.156566667,7.736307097,18.3017747,0.687908308,0.041845607,0.468283041,8.16,12.44163161,1,45
2989,中天精装,20200610,0,0.44004894,0.442660155,19,0,1,0,0.004133663,0.25,1,13.2145,4.158883083,0.156566667,8.208491752,18.3017747,0.653382527,0.034231064,0.491176339,24.52,11.43829028,0,20
688004,博汇科技,20200612,0,3.407368787,3.399445386,27,0,1,0,0.000577024,0.25,0,7.2247,4.158883083,0.14392,6.854354502,18.30145689,0.712091179,0.122269475,0.530727575,28.77,10.61774533,1,45
300841,康华生物,20200616,0,0.43996021,0.418589164,16,1,1,0,0.012110676,0.25,0,5.7619,4.143134726,0.219506667,9.309552022,18.02083581,0.647406262,0.023399127,0.505126214,70.37,11.56698742,0,35
688106,金宏气体,20200616,0,1.514857881,1.477533834,20,1,1,0,0.047099051,0.250000103,1,4.9617,4.143134726,0.219506667,7.166265974,18.02083581,0.710185349,0.030985773,0.549949309,15.48,12.14117054,1,15
605166,聚合顺,20200618,0,0.439716312,0.430179873,6,0,1,0,0.023214251,0.250000792,1,5.6981,4.158883083,0.296073333,7.542213463,17.79169501,0.648898335,0.019759322,0.527181571,7.05,10.92625228,0,15
300842,帝科股份,20200618,0,0.439849624,0.430312302,9,1,1,0,0.010329907,0.25,0,7.59,4.158883083,0.296073333,7.790696031,17.79169501,0.736433084,0.1619536,0.583244951,15.96,10.5941316,0,45
688505,复旦张江,20200619,0,3.134078212,3.079285252,23,1,1,0,0.040157586,0.115052733,1,7.2449,4.189654742,0.321426667,7.452402451,17.69854204,0.721508878,0.082412659,0.568639334,8.95,11.58431546,1,35
300824,北鼎股份,20200619,0,0.439932318,0.420847494,17,0,1,0,0.014189791,0.25,0,8.3435,4.189654742,0.321426667,7.945555428,17.69854204,0.71567083,0.08161929,0.520252048,5.91,10.37726063,0,25
688520,#REF!,20200622,0,1.849843994,1.847526108,13,0,1,0,0.039084868,0.11485389,1,4.99,4.189654742,0.393013333,7.732369222,17.61833218,0.589463813,0.042286605,0.533342823,25.64,11.76134682,1,35
